Node1,Node2
O75604,P0CG47
P55199,Q03111
P11216,Q04446
Q9NVS2,Q9Y2R9
O75838,Q96QU1
P22310,Q9NPZ5
P56696,P63252
P27694,Q99708
P22894,Q6UX06
P10606,Q99643
Q96A33,Q9Y284
Q13601,Q8NEJ9
O15169,P04628
P19174,P27986
O43818,Q5QJE6
P25789,Q92530
P61927,Q9UHA3
P28482,P46527
O15259,Q9BPU9
P01116,Q15052
O00585,P42830
Q9BYD1,Q9UHA3
P09919,P62191
P0CG47,P25788
P51003,Q09161
Q9NW08,Q9UHW5
P01116,Q06124
Q12864,Q15223
P25054,Q8IUQ4
P27695,P39687
P35916,Q9HCT0
O43921,P29323
P53680,Q9H0R1
O43674,Q9UI09
Q6UXN9,Q92797
P21580,Q9Y3C5
P60520,Q9Y4P8
O76021,Q9NY12
P13569,Q9UGJ0
P10645,P13521
O43572,P17612
P04844,P46977
P01024,Q03591
P62805,Q6P1J9
Q8NI27,Q9C0E2
P60520,Q9NT62
Q9BRG1,Q9H444
P08754,Q9Y272
O95210,Q9UQK1
Q9Y5J6,Q9Y5J9
P35268,P62917
P05198,Q9NR50
Q03701,Q9Y3T9
Q9H6T3,Q9UHV9
P62424,Q9Y221
Q9UHA3,Q9Y3A2
Q15843,Q9H9Q2
P39019,Q9UBQ5
O75431,Q9BUR5
O43148,O60573
O76064,O95714
P05177,Q16772
P56537,Q8NHQ9
P25963,Q15843
P19338,P22087
Q6IS14,Q9BYC8
O75530,Q9BSM1
P60059,P61803
O95267,P19174
Q15428,Q9BTD8
P25208,P54257
P26373,Q9Y221
O14503,O15055
P46937,Q04917
P82921,P82933
Q13427,Q9BZI7
O75608,Q8NCC3
P13051,Q9Y4B6
P53778,P61244
Q99741,Q9NZJ0
P01019,Q96RI0
O15121,Q9HA82
Q3KNV8,Q9UQR0
P63208,Q8NHM5
Q13490,Q92844
P09234,P52298
P15880,Q02543
Q96EY7,Q96GC5
O00622,P06756
Q92830,Q9Y6J9
O60243,Q7LGA3
P30273,Q13094
P62316,Q9BTD8
P61224,Q9P212
P04792,Q8IW41
P0CG48,Q9Y239
Q13895,Q9NVX2
Q13094,Q92918
O94906,Q9UK45
P84243,Q9UJW3
O15155,Q8WVM8
P50616,Q9NZN8
Q15398,Q96B01
P40337,Q99814
P82933,Q8N5N7
P61619,Q15041
P82664,Q9P015
O43488,P15121
Q9BXD5,Q9NR45
Q9Y399,Q9Y676
Q92871,Q9Y5P6
P02538,P13646
O95237,Q8IZV5
O14777,Q9H081
Q02846,Q9UMX6
O60427,Q9P035
P15311,Q9NZA1
Q9H9J2,Q9NQ50
Q6P2Q9,Q7RTV0
Q14596,Q8TDY2
Q9NYU1,Q9NYU2
O95299,Q16718
Q6UX04,Q7RTV0
P19388,Q9NVC6
Q9BQC6,Q9H9J2
P13569,P31946
Q8IWA0,Q9H8H0
Q5T200,Q9NVC6
P23378,Q9BYV1
P01100,P10276
P62877,Q13216
P04150,P08238
P51955,P52732
P11678,P12724
Q03701,Q9H9Y2
P09919,Q99062
P36954,Q7KZ85
Q15398,Q9BPX3
P05112,Q9BZS1
O43707,O60331
Q8TF46,Q99547
Q92830,Q9ULK2
P23258,Q66GS9
O00257,O95931
P50552,P63261
Q9BYC8,Q9H173
Q8TAD8,Q9Y3B4
P0CG37,Q13705
P40692,Q9BX63
O75204,P07949
Q8IXM3,Q9Y676
O00478,P47989
Q8N4V1,Q9P0I2
P42766,Q99848
P51948,P61218
P08138,Q96GC6
Q9H251,Q9HBB8
O15144,O15145
P13498,P63000
P30876,Q8N7H5
P28482,P46940
P27540,P35869
P20393,P56645
P82663,Q9NQ50
O75822,P62081
O60869,P46777
P33778,P62805
P56282,Q99741
P82664,Q9H2W6
Q86YP4,Q8TDI0
Q07955,Q13243
P23560,Q92793
P27694,Q6PCD5
Q92558,Q9P2A4
B9A064,O14793
P02776,P04275
P52298,Q15428
P54710,Q9UN42
P62979,Q15843
P12644,Q13705
Q8N3R9,Q9BYG4
P16219,Q08426
A0A1W2PQS6,P62917
O00548,Q15796
P33991,Q9Y294
P62877,P84022
Q9BTT4,Q9BWU1
P49771,P61619
P19883,P58166
O95997,Q14674
P82664,Q96BP2
P13995,Q3SY69
Q659A1,Q6PD62
P11940,Q9ULR5
Q13136,Q9UNL4
O00203,Q969F9
Q6ZRS2,Q9Y230
P46527,Q96SW2
Q66GS9,Q8TEP8
O60869,P62424
P49916,Q9UGN5
F5H3C5,Q99798
P07910,Q13247
Q92968,Q9Y5Y5
P52435,Q9H204
P00325,Q9HAY6
O95168,Q86YC2
P21399,Q99798
A6NK06,P00505
P82930,Q96DV4
P02649,P02654
P08069,Q9NP95
Q5JTH9,Q9H0A0
O00401,O15144
Q96JB2,Q96MW5
P06280,P54803
O75438,Q9Y375
P36507,P62714
Q96BP2,Q9BYC8
Q99879,Q9UPT9
Q99674,Q99675
P60880,Q9BV40
O43488,P14550
Q96EE3,Q9BW27
P54578,P55036
P35249,Q8WVB6
P05556,Q9UQP3
Q13148,Q96LT7
P22680,Q86Z14
P84098,Q5T653
Q8NB16,Q9H444
P18146,P28482
P28070,P62191
P16499,P49915
Q14028,Q8IV77
Q6P1L8,Q9Y2R9
Q92611,Q9NTJ4
P84243,Q8IUE6
P19438,Q92844
O15269,Q9NUV7
Q03701,Q8TDN6
O15042,Q8NI27
P15153,Q14289
Q13094,Q9GZY6
O43915,P16234
Q8IWL3,Q9UDW1
Q92508,Q9BVW5
O60814,Q8NEZ4
Q4G0N4,Q9Y6E7
P25098,P48729
P24864,P46527
P61619,Q15070
P57772,P62081
P01730,P04440
O00585,P49238
P46087,Q9UHA3
P10145,P25963
O43422,Q8WTV1
P62861,P62917
Q96DC9,Q9Y4K3
O00231,P62333
O75154,P57735
P62942,P63098
O75694,P49792
O75964,P56381
Q13242,Q16629
O75306,P06576
Q13247,Q15287
Q5VW32,Q9NZZ3
P51452,Q16539
Q92547,Q9UPP1
O15327,Q96PE3
O43741,Q13131
O00459,P46109
P51116,Q06787
Q15208,Q9H8S9
P62277,Q13895
P61247,Q9UHA3
P28161,P78417
Q96EY7,Q9Y2R9
P62072,Q99595
P49915,Q01064
P21815,Q13316
P05067,P08138
P08047,P53778
O75439,P49821
Q562F6,Q8N3U4
P98172,Q15768
P78352,Q9Y2T3
Q92979,Q9H8H0
Q12788,Q13895
Q5QJE6,Q9H8H0
P09960,P78329
P15313,P48201
Q8IUC6,Q9NWZ3
P22612,P78368
Q96EC8,Q9Y548
P52815,Q9Y676
O75394,Q9P015
Q15274,Q9NV35
P51665,P62333
P05937,P20472
P25788,Q9Y5K5
P46777,Q9P0M9
P40337,Q13617
Q8N7H5,Q96CJ1
P27037,P27539
O60518,P62826
Q92620,Q92917
P00338,Q99816
P62306,Q9UMS4
P46779,Q9Y2R9
I3L0E3,P82663
P19387,P62877
Q8TDY2,Q9GZQ8
Q9HCS7,Q9UMS4
P84098,Q15029
P08754,P09471
P00734,P05546
Q92624,Q9Y574
O75376,Q9UQL6
P57053,P62805
O60603,Q9BXR5
Q02241,Q53EZ4
O60563,Q4G0J3
O14638,Q01064
P04233,Q9P0J6
Q5H9S7,Q66K64
Q9H501,Q9H7B2
Q13895,Q9NW13
P56915,Q9Y3B9
P62805,P83916
P08579,Q9HCG8
P14780,Q07954
O43482,O43683
P63208,Q9Y2Z0
P05091,Q08426
O00161,Q12846
P25490,Q06547
P10276,Q9Y618
P07327,P41247
P07737,Q9NQX3
P28482,Q92731
P28070,P54578
P28482,Q9HBH9
Q12834,Q15645
O95405,Q15796
P62888,P82664
P23443,P49815
O95926,Q9H5Z1
P27482,Q01064
O00585,Q9NPB9
P05231,P19438
P62714,Q04206
O43818,Q96DI7
P14316,Q9H1B7
O14957,O75439
P62070,Q9NS23
P22694,Q13522
O43674,O75438
O94906,P62318
P35575,Q16822
P50914,P61619
Q15050,Q9Y221
Q9NZM5,Q9UQ80
P57772,Q8IV42
P51692,P60568
P55735,P57740
P62269,Q9NZL4
P14866,P22626
O95402,Q9H204
P37275,Q96EB6
Q02127,Q6IPT4
P21675,P51948
P30279,P55273
P82664,Q9BYD3
P17612,P25963
P61221,Q9UBQ5
O15371,P46782
P43308,P60468
O43353,P21580
P07992,P54727
P10646,P13726
Q6P2Q9,Q9Y3B4
P14174,P32754
O95931,Q06587
P11142,P50502
P62917,P84098
O75845,Q9UKR5
Q07837,Q7Z624
Q52LJ0,Q9Y224
P08048,Q05066
O00541,Q8NHQ9
Q3SY69,Q9H903
P28065,P51665
O43818,P78345
P32780,Q9NVC6
Q9BZI7,Q9H307
P62917,Q07020
P51665,Q16186
Q9NYG5,Q9UJX4
