Node1,Node2
1125,1584
3834,5331
2732,3611
3702,7362
2993,5582
148,5513
5,3881
1799,5791
1901,2754
2031,2733
4478,6486
267,4237
4613,6744
6841,7117
3173,7200
1473,2150
257,6467
1316,4044
345,1029
5978,7098
333,1534
3266,6066
3107,7094
2742,6106
7044,7235
2821,6705
989,4574
3696,6149
6114,7375
66,384
1045,2800
1824,3237
2166,2968
1736,1997
1457,4168
3054,4029
4272,7009
3811,7320
148,2862
1064,1205
6803,7369
342,3266
3008,3131
5362,6263
541,6427
1092,5300
987,2098
4407,6269
1860,2228
1834,2809
4461,6276
2516,2875
2713,3096
144,1659
1430,2447
1356,2834
933,3534
2611,4014
268,6634
5878,7256
3025,4718
1317,1573
2992,4602
3266,5070
1963,1982
2376,5009
3042,3172
2034,3076
977,6515
925,5776
1537,1939
2490,3439
1570,5332
26,699
2228,4749
734,6318
1074,3453
6608,6663
2056,2541
5118,6608
511,2874
1002,1097
3284,6331
3490,3572
2656,3160
4242,6125
5408,7384
1274,3144
1803,3568
1725,6341
263,1301
4029,4463
3138,7094
1156,5817
1584,2475
1738,6509
3255,3258
1644,2440
1810,3834
2754,5737
807,2101
1009,5787
1918,3696
933,4186
1803,5313
163,3793
2858,3268
5110,5763
272,2733
244,526
3923,6657
3046,3248
7469,5166
3125,5465
593,3836
1446,4128
1027,3542
1639,2387
2379,4444
156,3696
574,6475
2378,3254
3008,3157
1665,3293
2034,2965
1356,3651
2274,6521
3115,7089
453,2674
5350,6272
1218,3374
2558,4051
72,1799
2216,2828
2616,4853
3326,6417
635,6905
1180,3437
4834,5518
731,6833
2485,4355
5049,5086
598,7345
3674,5134
2607,5625
2013,3354
1187,2539
3480,5896
1895,6160
831,5193
3156,4029
3102,3391
6158,6876
1200,4806
2420,7089
6467,6841
1032,3498
3666,7131
3635,4020
714,4099
869,7407
1157,5178
2563,6831
1569,7357
3120,6931
3229,5279
4643,5015
3107,7200
4075,4768
5536,6654
2030,3008
189,7146
2616,3050
3156,3350
312,491
384,3139
1467,3208
1283,3464
3538,7260
3534,5877
810,1069
271,1665
840,5814
3390,4772
3061,3696
3332,6879
186,3744
1714,2196
3346,6898
1246,2803
399,6107
1298,1846
1397,2308
302,2558
3204,6111
5797,7342
1208,1584
1652,4086
5181,6526
494,793
2895,4538
3696,7322
755,1668
3252,3259
946,5756
2155,2174
5134,7377
1437,2377
2415,3022
4613,6272
541,5035
3257,7200
7444,4115
5817,6057
1442,2564
2663,6165
1243,3076
3759,4352
101,1895
467,5812
3094,3935
526,1249
3157,7113
1714,7003
3979,5522
6627,7089
1283,2472
79,4943
2498,3161
3321,3486
7200,7265
60,6767
1159,1769
866,5429
1834,5965
2962,7278
5203,7150
3090,3721
494,6690
1184,6979
628,3684
179,3886
4680,6752
489,3998
2049,3032
5120,5324
4225,4435
5852,6211
1511,4392
1984,3045
617,6746
3138,6300
3653,5877
1392,2445
3284,4680
1205,2040
4214,6052
3252,3257
1341,1842
4152,6149
1754,5835
3085,3274
2030,2415
777,4711
17,6825
2292,3451
1008,1030
1207,1468
174,2000
2296,2866
3744,3854
4134,6883
425,7131
5002,6730
3141,6360
647,2778
972,4757
3160,3313
5469,6149
3906,7406
4336,4522
1301,1500
950,5475
2948,5193
67,3405
5181,5788
987,1442
3107,5529
883,7395
1205,3026
1184,2033
138,5644
476,6475
183,5919
786,2166
1039,1903
2422,3345
2194,6584
2281,2704
150,3051
585,3992
2745,4589
2048,3119
1039,6546
3519,5529
1443,2043
1690,3998
1108,1112
2460,3105
587,3344
1482,2139
628,4530
1839,3574
1777,6736
240,384
1003,1024
1175,4808
1953,5868
3600,6883
3252,5866
6043,6752
5346,5761
3744,5529
2144,5931
3156,5857
3550,6906
5351,5843
1228,6038
2794,2920
6801,6878
1202,1348
2642,3713
1272,1918
668,1665
385,6250
498,3983
4767,5844
508,3142
235,3823
2077,2807
3125,5105
2013,3794
5317,5993
228,2269
1216,1466
7015,7092
3110,3696
3284,6539
2899,3309
2281,6946
875,7226
5992,7263
2198,6190
41,5842
2363,3041
508,769
2345,5782
1402,3534
3952,5853
530,1343
5745,5852
3384,5138
1819,2000
2050,2690
1563,2068
1009,7458
2244,2505
500,991
1690,6410
630,4982
385,5146
3869,4775
1962,7200
3909,6038
1923,6132
651,5702
5747,5750
348,4202
1729,3498
647,1883
89,5593
2797,5290
4512,6001
2846,3011
866,2559
124,4012
5850,7155
3274,5289
3115,5648
2762,4480
4480,6301
3585,6986
2531,3173
1185,6006
2064,2440
779,1356
5878,6698
2584,6121
1317,1423
1040,3229
3586,3686
5082,6576
183,6625
3696,3744
2013,3620
1092,1276
1266,1684
1753,5243
629,1503
1939,7395
1319,2458
267,5594
3754,4229
3698,4775
3258,5505
7258,7367
2101,3705
3574,5801
889,1997
4359,7107
174,3490
2570,3744
5841,6930
1443,4560
1417,2948
1638,6272
1316,7467
6179,6464
1647,3187
1711,2381
5005,5418
5136,6122
1799,3490
1159,1202
2509,5610
1013,1811
3653,6744
899,2221
4803,4875
1117,1519
3266,5481
5931,6620
1811,4299
3126,5877
3259,4614
2453,2734
738,1236
4281,6240
3627,7396
3115,3961
2125,2803
415,5733
1052,1123
980,3019
3129,3440
3022,3173
5532,7178
4487,5794
2582,6300
1611,2074
662,4757
1514,4145
1372,2030
2928,3485
3350,6111
6111,7266
3983,4213
4462,6841
3122,3568
494,3587
2301,2875
1895,2716
3259,5504
1953,4816
2183,2465
570,1441
4106,5812
183,3209
174,1415
727,7089
3252,4418
1387,3255
5350,5937
100,7345
1796,2773
3094,3638
327,2376
2030,2570
1441,5730
3646,6558
954,2230
316,1647
1934,4724
616,2491
643,5125
3968,6940
3144,5366
9,3350
2030,3100
1420,7445
1494,6425
1551,3295
7424,6851
3978,6466
2895,5368
1227,2433
3468,7177
1373,2997
2407,3150
2030,5529
1177,5617
3129,3180
3254,5518
1725,5137
3076,5416
6929,7374
4280,5755
5527,5878
7173,7416
1417,6462
363,1227
6529,6899
5290,6439
661,6709
2985,7095
497,939
1086,1409
35,3178
928,3535
1668,2379
1811,3615
1729,2934
1855,7021
3094,7139
4730,7303
4211,6696
6883,7094
1424,7073
2918,3061
3744,7243
3880,4217
3144,5374
3144,7459
3502,5189
3166,3185
3643,7341
3035,3299
1074,1777
3867,4416
1659,5267
3349,3499
2030,5156
2338,4937
5092,5345
2663,3950
5431,6264
3172,7000
1473,1756
636,1069
1328,1975
5305,5783
3698,4923
1278,1593
2516,2520
3953,4423
1926,3274
718,3951
4060,4950
3150,4797
420,2794
3285,4820
5271,5501
3466,6524
1076,3026
6331,7253
174,1516
4129,4130
1926,3467
7461,5493
1762,1926
2274,5978
1270,6941
1479,6377
3274,4250
870,5241
1370,1654
1227,3629
1427,7073
356,1668
3319,4625
3921,6929
270,7166
589,1897
267,4656
3068,3526
5818,6318
2821,5674
3131,3945
1177,2948
1177,3181
879,5113
4950,6860
1986,4235
651,4599
263,3857
1918,2582
2160,2310
345,2637
1514,7307
895,1834
3073,5065
719,6142
589,5822
6330,6952
1992,3144
922,4843
335,3334
1584,3026
1522,4467
5721,6991
3150,3708
6466,7263
731,5640
3440,3926
1217,3211
37,6149
150,5268
914,6333
5544,5850
2528,7211
2889,3778
3076,3284
108,4768
5816,6715
2963,3921
2423,4610
2809,4068
1281,7123
4407,7107
1369,7093
1087,1165
5178,5449
1039,2076
2016,2174
1236,1348
2905,4922
3744,4289
2673,4005
1049,1054
3486,3983
4080,5317
3710,4029
1298,3062
256,1000
2300,6249
950,5309
5911,6603
3229,6013
2061,3157
919,4431
1852,2772
3560,4372
2498,6752
2664,6008
163,5240
1197,2329
3915,5918
1479,2050
3344,3840
1537,1821
6670,7238
3267,4754
2246,7295
5071,6350
2498,7265
3252,5416
2900,3282
2459,5817
4868,5602
1356,3653
2671,6107
3022,6534
3046,6343
2510,2623
1803,2833
1150,2366
3025,5465
7312,7319
254,6149
1668,2088
3486,4551
3173,6172
2292,5493
585,2736
1511,3338
2364,2702
570,6318
7243,7406
6164,6497
444,5404
576,3331
1803,5491
1958,5467
3275,3915
3840,3988
57,6688
3099,6149
210,4078
2347,7364
3008,3123
3118,3350
2364,2803
3350,5469
216,7222
2015,3313
456,4871
508,3118
3144,4552
2460,3131
232,1719
919,4861
2091,3572
6058,7367
933,3959
1360,5193
2303,6346
1147,3976
1070,1710
2674,3275
662,5937
127,6696
3166,7348
475,5975
1803,5572
1500,3855
1569,3780
764,6825
1415,5296
3089,6839
501,3081
312,896
6752,7113
3094,3565
372,3886
2498,6147
3259,6746
5853,6283
2196,6502
2058,2336
1755,2007
3231,3372
1092,1219
427,6432
27,7263
1918,2030
102,6841
1261,3572
174,5143
1153,3655
1867,4489
3045,4702
2198,4168
1420,2268
1803,3075
2314,3190
1970,4601
3607,4689
3696,7094
5941,6591
2123,2621
3020,3447
725,1714
1069,2479
2305,3339
1803,2669
3185,5288
1758,2849
1638,5877
4688,7138
341,3854
1753,3836
1200,5610
2080,6346
1008,6918
2573,4006
2483,5351
1551,5864
3770,7214
1534,7116
3459,3586
1926,2569
3144,5165
1476,2812
1615,3676
174,5296
2829,5441
147,7462
2918,3802
383,928
3953,4471
1266,1598
3685,5351
2460,3157
4398,6738
4418,5857
2498,3841
1456,2914
1792,3252
1368,2803
3255,4957
4843,5756
1586,1936
3259,6218
5817,7371
3438,6820
2491,3696
1584,3455
1729,6410
1007,2583
2372,5296
810,5299
3144,3528
1729,3446
2228,3515
3076,3104
115,3461
1829,3869
1788,5925
2543,3160
3022,3110
519,5838
2096,2895
559,5749
57,6701
2377,5931
2408,3076
7,6346
994,2127
96,7390
547,2844
4053,5940
351,2699
5382,7217
1653,3499
3234,6439
6284,6533
2498,2575
1085,1378
4352,7071
3128,3977
3173,3313
3274,3378
248,3704
4244,4397
3732,7135
814,4283
150,5729
653,3144
1186,7478
116,760
3099,3284
1443,2543
1584,2795
6535,7093
1177,2498
7254,7317
600,3562
2343,2702
248,6877
695,5817
1765,4130
1231,1810
3837,5522
803,4048
2563,5996
187,3384
3156,3313
3259,4052
133,4245
3022,6882
4470,4689
2434,7450
2343,2803
118,1091
1560,6835
1777,2395
991,1482
2699,4377
1731,2961
1818,1934
4775,5356
57,3319
3836,4812
466,3058
787,3816
743,3854
3230,5738
2180,6163
1045,2091
1033,1829
3021,3085
1799,3178
587,5850
3718,3744
5317,5406
1227,3192
328,3244
2705,3338
363,764
3733,6486
6240,6971
3579,3836
1573,6264
3135,3284
614,1918
1152,1280
3121,3696
2956,7226
1764,6111
6038,7200
1089,1106
998,2632
3338,4747
1143,3086
5315,5355
98,6038
1834,4046
1895,3724
1466,5290
534,3837
508,6608
2548,5853
4214,5747
1476,5002
128,2763
3698,6189
383,5584
195,2246
5166,5495
302,6104
879,928
2132,7387
2050,2038
1753,3479
2160,3319
235,7037
1803,2700
4151,6264
3696,7200
3566,6746
5538,7322
1659,3786
383,4655
712,1849
412,3014
7254,7299
5136,5894
2794,4538
3708,7217
2733,3869
2840,6718
628,2326
2049,6109
1668,5649
3254,5444
2570,7200
2301,5888
758,4996
1878,6814
627,2641
589,1925
4012,5354
497,3571
3959,5877
3150,6581
312,4217
1581,5009
2081,2326
3131,6346
889,5937
2456,3047
1407,2098
3144,5889
1043,1914
2833,3150
662,1132
432,3115
494,985
2997,3347
1768,3084
432,6627
5252,6316
236,501
345,2337
3022,3052
5231,5852
407,6663
1486,1879
407,7089
1818,6869
6157,7178
4054,7184
3150,3250
3384,5538
6111,6608
1819,3178
79,7472
3157,6752
1748,3389
2081,5978
3878,6331
853,3341
258,2397
1803,4423
2368,3350
3989,5363
946,6045
314,5815
3157,7265
970,4480
3172,3953
1099,1181
3153,3274
50,3019
1205,1669
768,2997
1383,2948
94,6331
3205,3484
1316,2961
974,1868
5234,6369
4821,6430
4322,6755
4481,5846
1238,1714
658,5430
4613,4982
736,3160
1053,1415
258,2809
4554,7132
3252,6406
239,2858
7,3022
1970,7404
37,3744
1089,1553
1595,6223
3259,6043
1712,1961
3109,4950
2666,3812
2498,2598
7478,6810
1413,2283
2038,3622
4858,7156
2666,3144
1617,3454
3275,3899
4986,5271
1417,2684
174,5386
2175,3493
5013,6240
5734,5902
1903,3628
889,6912
2517,3586
3111,3157
5020,5597
4245,4479
2030,4268
361,4567
2197,4262
2589,3013
48,5960
6676,7367
651,4511
556,2921
4049,4179
483,2832
345,3958
5518,6212
4111,5180
2116,2866
5074,5419
1977,2206
1832,1895
1074,1467
691,928
3266,5490
4168,6606
1569,7442
2166,2965
922,946
1068,5453
1665,3905
3094,3637
1918,7162
1177,3067
4377,5351
765,4042
4968,6129
1665,5850
2050,5261
822,4876
743,3115
502,4593
5877,6741
2905,4512
1188,1207
2116,3164
5850,6391
1159,1278
865,5321
2791,5786
2403,7166
4843,5570
1811,4379
1511,4583
699,2386
6354,6682
2377,3382
1172,3019
880,4526
813,4190
384,3802
1918,3061
3612,6426
5817,6482
766,6780
3979,5779
1353,2579
4520,6350
2451,6615
5058,6999
587,3979
3363,6790
662,700
2863,3352
2068,6970
1803,3144
2803,7099
235,663
2275,3847
2948,6667
3150,6974
2048,2794
4886,6696
484,662
718,5354
